13.10.2021 00:05:42.220 [main] INFO   r.v.cs.checkers.Main - assa
13.10.2021 00:13:15.547 [main] INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 00:57:41.451 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 01:28:53.209 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 02:08:44.930 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 02:17:16.460 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 02:28:26.296 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 02:41:43.357 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 02:45:19.322 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 02:47:19.500 INFO   r.v.cs.checkers.Main - Application started.
13.10.2021 03:38:20.833 INFO   r.v.cs.checkers.Main - Application started.
